SA_iterations,fitness,time,fevals
1790,0.048662597069,0.00202283899489,1801
1800,0.048662597069,0.00203195599534,1811
1810,0.048662597069,0.00204070799555,1821
1820,0.048662597069,0.00204873099574,1831
1830,0.048662597069,0.00205711899616,1841
1840,0.048662597069,0.00206842299667,1851
1850,0.048662597069,0.00213552299647,1861
1860,0.048662597069,0.00217308499668,1871
1870,0.048662597069,0.00218475399561,1881
1880,0.0489284653446,0.00219387099605,1891
1890,0.0489284653446,0.00220262299626,1901
1900,0.0489284653446,0.00221101099487,1911
1910,0.0489284653446,0.00221939799485,1921
1920,0.0489284653446,0.00222778499483,1931
1930,0.049711864593,0.00223617199481,1941
1940,0.049711864593,0.00224455899479,1951
1950,0.049711864593,0.00225294699339,1961
1960,0.0497644915749,0.00226133499382,1971
1970,0.049874680183,0.0022697219938,1981
1980,0.0500040577188,0.00227883899242,1991
1990,0.0500040577188,0.00229014399338,2001
2000,0.0500040577188,0.00230509499488,2011
2010,0.0507213834205,0.00231494099353,2021
2020,0.0507213834205,0.00232369299374,2031
2030,0.0507213834205,0.00233244499395,2041
2040,0.0507213834205,0.00234520899357,2051
2050,0.0508956901052,0.00239407499248,2061
2060,0.0509977957784,0.00242871899172,2071
2070,0.0509977957784,0.00243820099058,2081
2080,0.0509977957784,0.00244622398895,2091
2090,0.0509977957784,0.00245497598917,2101
2100,0.0514016779476,0.00246336398959,2111
2110,0.0514016779476,0.00247175098957,2121
2120,0.0514016779476,0.00248050298978,2131
2130,0.0515137603206,0.00248925499,2141
2140,0.0515137603206,0.00249727799019,2151
2150,0.0515137603206,0.00250566599061,2161
2160,0.0515137603206,0.00251405399104,2171
2170,0.0515137603206,0.00252207599078,2181
2180,0.0515137603206,0.00253046299076,2191
2190,0.0515137603206,0.00253921499097,2201
2200,0.0515137603206,0.00254760199095,2211
2210,0.0515607517632,0.00257531699208,2221
2220,0.0515607517632,0.00259136199202,2231
2230,0.0515688263703,0.00260193699251,2241
2240,0.0515688263703,0.00261032399249,2251
2250,0.0515688263703,0.0026190759927,2261
2260,0.0515688263703,0.00262892199316,2271
2270,0.0515688263703,0.002650437993,2281
2280,0.0516903652449,0.00269346899222,2291
2290,0.0516903652449,0.00270951399398,2301
2300,0.0516903652449,0.00272008899265,2311
2310,0.0521682473395,0.00272956999288,2321
2320,0.0521682473395,0.00273905199174,2331
2330,0.0521682473395,0.00274816799174,2341
2340,0.0521682473395,0.00277661199289,2351
2350,0.0521682473395,0.00278645799335,2361
2360,0.0521682473395,0.00279557399335,2371
